Şirket,Bulunduğu Bölge/Ülke,Tesis Adı,Adres
AKBANK,Türkiye,Genel Müdürlük,Sabancı Center 4.Levent 34330 İstanbul
AKBANK,Türkiye,Operasyon Merkezi,Cumhuriyet Mah. Plevne Cad. No:1 Şekerpınar Çayırova 41420 Kocaeli
Ak Portföy Yönetimi A.Ş.,Türkiye,Genel Müdürlük,Sabancı Center Hazine Binası Kat 1 34330 4.Levent - Beşiktaş - İstanbul 
Ak Finansal Kiralama A.Ş.,Türkiye,Genel Müdürlük,Sabancı Center Kule 2 Kat:8-9 34330 4.Levent / İstanbul
Ak Yatırım Menkul Değerler A.Ş,Türkiye,Genel Müdürlük,"Sabancı Center 4.Levent, 34330 İstanbul"
Aksigorta,Türkiye,Genel Müdürlük,"Poligon Cad.Buyaka 2 Sitesi No:8 Kule:1, Kat: 0-6 Ümraniye 34771 İstanbul Türkiye"
Avivasa,Türkiye,Genel Müdürlük,Saray Mah. Dr. Adnan Büyükdeniz Cad. No:12 34768 Ümraniye -İstanbul
Enerjisa İstanbul Anadolu Yakası Elektrik Perakende Satış A.Ş.,Türkiye,Genel Müdürlük,"Barbaros Mahallesi/ Begonya Sokak/ Nida Kule Ataşehir Batı Sit. No:1/1/ Ataşehir / İSTANBUL"
Enerjisa Başkent Elektrik Perakende Satış A.Ş.,Türkiye,Genel Müdürlük,"Barbaros Mahallesi/ Begonya Sokak/ Nida Kule Ataşehir Batı Sit. No:1/1/ Ataşehir / İSTANBUL"
Enerjisa Başkent Elektrik Perakende Satış A.Ş.,Türkiye,Bölge Ofisi,Hanımeli Sokak No:1 Sıhhiye/ANKARA
Enerjisa Toroslar Elektrik Perakende Satış A.Ş.,Türkiye,Genel Müdürlük,"Barbaros Mahallesi/ Begonya Sokak/ Nida Kule Ataşehir Batı Sit. No:1/1/ Ataşehir / İSTANBUL"
Enerjisa Toroslar Elektrik Perakende Satış A.Ş.,Türkiye,Bölge Ofisi,"Güzelyalı Mahallesi Turgut Özal Bulvarı 81060 Sokak No:44/C Çukurova/ADANA"
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,BANDIRMA II DGÇS,Çanakkale karayolu 26.Km. Bandırma/BALIKESİR
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,ARKUN BARAJI VE HES,ALANBAŞI KÖYÜ HAV BAĞLIĞI MEVKİ 08800 YUSUFELİ /ARTVİN
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,ÇAMBAŞI HES,IŞIKLI MAH. NO:79 ÇAYKARA / TRABZON
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,DAĞDELEN HES,ÇALIŞKÖYÜ MEVKİİ ELBİSTAN / KAHRAMANMARAŞ
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,DOĞANÇAY HES,GÖKÇEKÖY KÖYÜ DEĞİRMEN YANI MEVKİİ ALADAĞ / ADANA
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,HACININOĞLU HES,HACININOĞLU KÖYÜ ILICA BELDESİ / K.MARAŞ
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,KANDİL HES,KANDİL KÖYÜ SAZ MEVKİİ EKİNÖZÜ / K.MARAŞ
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,KAVŞAK BENDİ HES,KAVŞAK BENDİ SANTRALİ HENÜZÇAKIRI KÖYÜ ANDIRAP MEVKİİ NO:22 KOZAN / ADANA
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,KÖPRÜ HES,ERGENUŞAĞI KÖYÜ GÖKDERE MEVKİİ KOZAN/ ADANA
Enerjisa Üretim Tesisleri A.Ş.,Türkiye,KUŞAKLI HES,KONAKKURAN KÖYÜ KIY MEVKİİ NO:75 FEKE / ADANA
